Titre de l'image,Sujets,0,1,2,3,4,5,6,7,8
tt2016940.jpg,[],,,,,,,,,
tt2302755.jpg,"['eckhart', '—', '.ofreeman']",Eckhart,,,,,,,,
tt1894476.jpg,"['wwill', 'ho', '|']",love,lead,holmium,,,,,,
tt1621039.jpg,[],,,,,,,,,
tt1235522.jpg,"['mark', 'wahlberg', 'russell', 'crowe', 'city', '%']",mark,Russell,interrupt,city,January,eighteen,,,
tt2370248.jpg,"['term', '|', 'hb', 'rall']",term,hemoglobin,,,,,,,
tt2359427.jpg,"['linsanity', '=']",unwanted,firm,New_York,,,,,,
tt2229842.jpg,[],,,,,,,,,
tt2406422.jpg,"['camino', 'ways', 'santioao', 'rie', 'jaw', 'ney', 'psf']",walk,six,ways,tellurium,five_hundred,jaw,,,
tt2292959.jpg,"['dal', 'creatore', 'di', 'gigolo', '”', '“', 'taxidriverd', 'sy', 'ddaluautore', 'di']",American,dekaliter,gigolo,,,,,,
tt2492916.jpg,[],,,,,,,,,
tt2261409.jpg,[],,,,,,,,,
tt1785612.jpg,[],,,,,,,,,
tt2147728.jpg,[],,,,,,,,,
tt1951264.jpg,"['hunger', 'games', 'fire', 'ze', 'ag']",hunger,game,catching,fire,silver,,,,
tt1549920.jpg,[],,,,,,,,,
tt1588173.jpg,[],,,,,,,,,
tt1170358.jpg,['er'],propel,erbium,thirteen,,,,,,
tt1564870.jpg,"['lq', '|', 'il', '|']",Illinois,,,,,,,,
tt1906329.jpg,[],,,,,,,,,
tt1210819.jpg,"['johnny', 'depp']",Rebel,,,,,,,,
tt2710614.jpg,[],,,,,,,,,
tt1893326.jpg,"['oscar', '~spittes', 'ko', 'india', 'fai', 'tet', 'brenet', 'anna', 'ib', 'rr', 'ssnwu', 'es', 'isaac', 'bse']",Academy_Award,Delaware,lanthanum,Michael,knockout,,,,
tt1798291.jpg,[],,,,,,,,,
tt2193418.jpg,[],,,,,,,,,
tt2609758.jpg,[],,,,,,,,,
tt1462411.jpg,"['barr', '=', 'ate', 'bosworth', '=', 'josh', 'iueas', 'mass', 'sundance']",Ate,kid,,,,,,,
tt2186781.jpg,"['|', 'dances']",five,dance,,,,,,,
tt2387433.jpg,[],,,,,,,,,
tt2215151.jpg,[],,,,,,,,,
tt1981115.jpg,"['thor', '”', 'dark', 'world']",Thor,dark,universe,,,,,,
tt2576450.jpg,[],,,,,,,,,
tt2244901.jpg,[],,,,,,,,,
tt1662293.jpg,[],,,,,,,,,
tt2505938.jpg,[],,,,,,,,,
tt2121304.jpg,[],,,,,,,,,
tt2734552.jpg,"['garden', 'donc', 'nce', '“', 'fuon', '’', 'hh', '»', '~', 'fests']",garden,,,,,,,,
tt2209418.jpg,[],,,,,,,,,
tt2590506.jpg,[],,,,,,,,,
tt1213663.jpg,[],,,,,,,,,
tt1311060.jpg,"['richard', '=', 'catherine', '“', 'clark', 'essica', 'jane']",Adam,Catherine_of_Aragon,Clark,,,,,,
tt1634003.jpg,[],,,,,,,,,
tt2710368.jpg,"['rapture', 'strikes', 'rapture', 'ls']",ecstasy,strike,twenty-three,final,liter,,,,
tt1351685.jpg,[],,,,,,,,,
tt2224004.jpg,[],,,,,,,,,
tt1709143.jpg,[],,,,,,,,,
tt1532958.jpg,[],,,,,,,,,
tt2309021.jpg,['ail'],garlic,,,,,,,,
tt2275471.jpg,[],,,,,,,,,
tt2272336.jpg,"['ge', 'ex', 'mc', 'db']",germanium,ex-husband,megahertz,dubnium,,,,,
tt2357377.jpg,[],,,,,,,,,
tt2520398.jpg,"['age', 'rights', 'fire', '——', '|', 'mmm']",pressurized_water_reactor,age,kos,civil,right,fire,,,
tt2506388.jpg,[],,,,,,,,,
tt2193364.jpg,[],,,,,,,,,
tt1837703.jpg,['estate'],fifth,estate,,,,,,,
