Id,nb_visages,position_visage,emotion1,emotion2
tt0090848,0,0,0,0
tt0090852,1,1,0,0
tt0090856,0,0,0,0
tt0090859,1,1,1,0
tt0090863,1,1,2,0
tt0090886,1,2,3,0
tt0090887,1,1,1,0
tt0090904,0,0,0,0
tt0090917,1,2,1,0
tt0090927,1,1,1,0
tt0090934,1,1,1,0
tt0090966,0,0,0,0
tt0090967,1,1,1,0
tt0090970,0,0,0,0
tt0090985,0,0,0,0
tt0091003,0,0,0,0
tt0091019,0,0,0,0
tt0091024,1,1,1,0
tt0091042,1,1,2,0
tt0091051,2,2,2,2
tt0091053,0,0,0,0
tt0091055,1,1,1,0
tt0091059,1,2,2,0
tt0091064,0,0,0,0
tt0091080,0,0,0,0
tt0091083,0,0,0,0
tt0091113,1,2,1,0
tt0091123,0,0,0,0
tt0091129,0,0,0,0
tt0091149,0,0,0,0
tt0091159,1,1,2,0
tt0091164,2,1,0,5
tt0091167,2,1,2,2
tt0091173,0,0,0,0
tt0091178,2,1,0,0
tt0091187,0,0,0,0
tt0091188,2,2,1,3
tt0091203,1,1,1,0
tt0091209,0,0,0,0
tt0091213,0,0,0,0
tt0091217,1,1,4,0
tt0091223,1,1,0,0
tt0091225,1,2,2,0
tt0091276,1,2,4,0
tt0091278,1,1,1,0
tt0091282,1,1,3,0
tt0091295,1,2,1,0
tt0091306,1,2,2,0
tt0091310,1,2,3,0
tt0091313,0,0,0,0
tt0091326,2,2,3,3
tt0091343,0,0,0,0
tt0091344,0,0,0,0
tt0091369,1,1,2,0
tt0091374,1,1,3,0
tt0091396,2,1,2,1
tt0091400,1,1,1,0
tt0091415,0,0,0,0
tt0091419,0,0,0,0
tt0091445,1,1,2,0
tt0091472,1,1,4,0
tt0091474,0,0,0,0
tt0091499,0,0,0,0
tt0091508,1,1,1,0
tt0091530,1,2,3,0
tt0091534,0,0,0,0
tt0091538,1,1,1,0
tt0091541,3,2,2,2
tt0091554,1,2,0,0
tt0091557,1,1,3,0
tt0091575,0,0,0,0
tt0091579,0,0,0,0
tt0091584,0,0,0,0
tt0091603,0,0,0,0
tt0091605,0,0,0,0
tt0091613,0,0,0,0
tt0091630,0,0,0,0
tt0091637,1,2,3,0
tt0091647,1,2,0,0
tt0091653,2,2,2,5
tt0091668,0,0,0,0
tt0091680,0,0,0,0
tt0091706,0,0,0,0
tt0091707,0,0,0,0
tt0091738,2,2,1,3
tt0091756,0,0,0,0
tt0091763,0,0,0,0
tt0091777,0,0,0,0
tt0091778,0,0,0,0
tt0091786,0,0,0,0
tt0091790,2,2,1,1
tt0091814,1,1,3,0
tt0091815,2,1,3,1
tt0091817,0,0,0,0
tt0091828,1,1,3,0
tt0091836,1,1,4,0
tt0091859,1,1,1,0
tt0091875,0,0,0,0
tt0091877,2,1,2,2
tt0091886,0,0,0,0
tt0091934,0,0,0,0
tt0091939,0,0,0,0
tt0091949,0,0,0,0
tt0091954,0,0,0,0
tt0091963,0,0,0,0
tt0091981,0,0,0,0
tt0091983,1,1,2,0
tt0091991,1,1,3,0
tt0092005,3,1,3,3
tt0092007,2,1,1,1
tt0092022,1,1,1,0
tt0092034,1,1,3,0
tt0092035,0,0,0,0
tt0092042,1,1,1,0
tt0092068,1,1,3,0
tt0092074,0,0,0,0
tt0092076,2,1,5,1
tt0092079,0,0,0,0
tt0092086,1,1,1,0
tt0092099,2,1,3,3
tt0092104,1,1,0,0
tt0092105,1,1,2,0
tt0092106,0,0,0,0
tt0092112,2,2,1,3
tt0092115,0,0,0,0
tt0092117,0,0,0,0
tt0092133,2,2,1,5
tt0092147,1,1,3,0
tt0092172,0,0,0,0
tt0092173,1,1,1,0
tt0092195,0,0,0,0
tt0092205,0,0,0,0
tt0092214,1,2,5,0
tt0092226,0,0,0,0
tt0092240,0,0,0,0
tt0092272,2,1,1,1
tt0092493,0,0,0,0
tt0092494,0,0,0,0
tt0092513,0,0,0,0
tt0092537,1,1,1,0
tt0092546,0,0,0,0
tt0092548,1,1,4,0
tt0092559,0,0,0,0
tt0092563,3,1,1,1
tt0092585,1,1,1,0
tt0092605,1,1,3,0
tt0092608,0,0,0,0
tt0092615,0,0,0,0
tt0092618,2,1,1,1
tt0092627,1,1,3,0
tt0092632,2,1,1,5
tt0092638,0,0,0,0
tt0092641,2,2,4,4
tt0092644,0,0,0,0
tt0092646,0,0,0,0
tt0092655,0,0,0,0
tt0092656,2,2,3,3
tt0092666,2,1,2,1
tt0092675,0,0,0,0
tt0092690,0,0,0,0
tt0092699,2,1,2,2
tt0092710,0,0,0,0
tt0092717,2,1,3,3
tt0092718,1,1,1,0
tt0092721,1,2,1,0
tt0092751,2,2,4,3
tt0092752,0,0,0,0
tt0092758,1,1,1,0
tt0092767,2,2,1,4
tt0092796,0,0,0,0
tt0092798,1,1,0,0
tt0092802,0,0,0,0
tt0092804,0,0,0,0
tt0092809,0,0,0,0
tt0092822,2,1,1,1
tt0092834,0,0,0,0
tt0092842,0,0,0,0
tt0092843,1,1,3,0
tt0092850,0,0,0,0
tt0092854,0,0,0,0
tt0092857,2,2,4,3
tt0092890,0,0,0,0
tt0092897,1,1,2,0
tt0092925,2,2,1,1
tt0092934,0,0,0,0
tt0092948,0,0,0,0
tt0092965,0,0,0,0
tt0092967,1,2,3,0
tt0092974,1,1,3,0
tt0092997,0,0,0,0
tt0093010,0,0,0,0
tt0093011,1,2,1,0
tt0093036,0,0,0,0
tt0093042,1,2,1,0
tt0093044,0,0,0,0
tt0093051,1,1,1,0
tt0093058,0,0,0,0
tt0093067,2,1,2,1
tt0093072,0,0,0,0
tt0093073,0,0,0,0
tt0093075,0,0,0,0
tt0093093,0,0,0,0
tt0093105,1,1,4,0
tt0093137,0,0,0,0
tt0093143,0,0,0,0
tt0093145,0,0,0,0
tt0093148,1,2,2,0
tt0093166,6,1,1,3
tt0093175,1,2,2,0
tt0093177,1,1,5,0
tt0093185,2,1,1,1
tt0093186,1,2,2,0
tt0093200,1,1,1,0
tt0093204,1,2,1,0
tt0093209,1,1,2,0
tt0093215,0,0,0,0
tt0093217,1,1,3,0
tt0093220,0,0,0,0
tt0093223,0,0,0,0
tt0093225,0,0,0,0
tt0093231,0,0,0,0
tt0093253,1,1,3,0
tt0093260,1,2,4,0
tt0093276,0,0,0,0
tt0093277,1,1,2,0
tt0093278,2,2,1,1
tt0093315,0,0,0,0
tt0093347,1,1,3,0
tt0093378,1,1,2,0
tt0093389,0,0,0,0
tt0093405,0,0,0,0
tt0093407,1,1,1,0
tt0093409,1,2,1,0
tt0093415,2,1,1,1
tt0093418,0,0,0,0
tt0093428,0,0,0,0
tt0093437,2,1,1,4
tt0093467,2,1,2,0
tt0093476,1,1,1,0
tt0093477,2,1,1,2
tt0093483,2,1,3,2
tt0093493,0,0,0,0
tt0093507,1,1,2,0
tt0093509,0,0,0,0
tt0093512,1,2,4,0
tt0093539,0,0,0,0
tt0093558,0,0,0,0
tt0093560,1,1,1,0
tt0093565,0,0,0,0
tt0093567,1,1,2,0
tt0093589,1,1,2,0
tt0093596,2,1,4,0
tt0093605,2,2,3,3
tt0093617,0,0,0,0
tt0093626,0,0,0,0
tt0093629,3,1,1,1
tt0093640,0,0,0,0
tt0093648,2,1,4,1
tt0093654,0,0,0,0
tt0093658,0,0,0,0
tt0093660,1,1,3,0
tt0093664,0,0,0,0
tt0093690,0,0,0,0
tt0093692,0,0,0,0
tt0093693,0,0,0,0
tt0093714,0,0,0,0
tt0093727,0,0,0,0
tt0093737,1,2,1,0
tt0093743,0,0,0,0
tt0093744,1,1,0,0
tt0093756,1,2,1,0
tt0093771,2,1,1,1
tt0093773,0,0,0,0
tt0093776,2,2,1,2
tt0093777,0,0,0,0
tt0093778,0,0,0,0
tt0093779,0,0,0,0
tt0093780,2,1,3,3
tt0093818,0,0,0,0
tt0093822,0,0,0,0
tt0093828,0,0,0,0
tt0093854,0,0,0,0
tt0093857,0,0,0,0
tt0093870,0,0,0,0
tt0093881,0,0,0,0
tt0093886,1,1,3,0
tt0093894,1,1,1,0
tt0093898,0,0,0,0
tt0093913,1,1,4,0
tt0093940,0,0,0,0
tt0093966,0,0,0,0
tt0093969,1,1,1,0
tt0093970,0,0,0,0
tt0094006,2,1,1,3
tt0094008,0,0,0,0
tt0094012,0,0,0,0
tt0094020,2,1,2,2
tt0094021,0,0,0,0
tt0094025,2,1,3,1
tt0094027,2,1,1,3
tt0094033,1,1,3,0
tt0094034,0,0,0,0
tt0094035,0,0,0,0
tt0094037,0,0,0,0
tt0094056,0,0,0,0
tt0094071,3,2,2,3
tt0094072,2,2,2,2
tt0094074,1,1,1,0
tt0094082,2,2,4,1
tt0094089,0,0,0,0
tt0094118,1,2,2,0
tt0094140,0,0,0,0
tt0094142,1,1,1,0
tt0094155,0,0,0,0
tt0094169,0,0,0,0
tt0094208,0,0,0,0
tt0094226,0,0,0,0
tt0094291,2,1,1,3
tt0094293,1,1,3,0
tt0094304,1,1,1,0
tt0094315,0,0,0,0
tt0094318,1,1,1,0
tt0094321,1,2,0,0
tt0094331,1,2,1,0
tt0094332,1,1,3,0
tt0094383,2,2,1,1
tt0094593,1,1,2,0
tt0094594,1,2,2,0
tt0094602,0,0,0,0
tt0094606,0,0,0,0
tt0094608,0,0,0,0
tt0094612,2,1,1,1
tt0094631,0,0,0,0
tt0094637,2,1,1,2
tt0094651,0,0,0,0
tt0094663,1,2,4,0
tt0094669,4,2,5,3
tt0094678,0,0,0,0
tt0094701,0,0,0,0
tt0094712,0,0,0,0
tt0094715,0,0,0,0
tt0094716,0,0,0,0
tt0094721,1,1,2,0
tt0094731,1,2,5,0
tt0094737,1,1,2,0
tt0094739,0,0,0,0
tt0094744,0,0,0,0
tt0094746,0,0,0,0
tt0094747,0,0,0,0
tt0094761,0,0,0,0
tt0094768,2,1,3,2
tt0094783,2,2,3,0
tt0094792,0,0,0,0
tt0094799,0,0,0,0
tt0094812,1,1,3,0
tt0094819,1,2,0,0
tt0094824,0,0,0,0
tt0094827,0,0,0,0
tt0094846,1,1,5,0
tt0094862,0,0,0,0
tt0094869,1,2,1,0
tt0094871,1,1,3,0
tt0094882,2,1,1,1
tt0094884,1,1,1,0
tt0094889,1,1,1,0
tt0094890,0,0,0,0
tt0094894,2,1,1,4
tt0094898,1,2,3,0
tt0094907,1,1,1,0
tt0094910,1,1,1,0
tt0094921,0,0,0,0
tt0094933,0,0,0,0
tt0094934,1,1,1,0
tt0094947,1,2,1,0
tt0094961,2,2,1,3
tt0094963,0,0,0,0
tt0094964,0,0,0,0
tt0094979,1,2,1,0
tt0094980,0,0,0,0
tt0095016,0,0,0,0
tt0095031,1,1,2,0
tt0095036,0,0,0,0
tt0095047,0,0,0,0
tt0095050,2,1,1,1
tt0095082,0,0,0,0
tt0095088,1,1,3,0
tt0095107,0,0,0,0
tt0095119,1,1,3,0
tt0095145,2,1,0,5
tt0095159,0,0,0,0
tt0095169,1,2,2,0
tt0095174,2,1,3,1
tt0095178,3,1,5,3
tt0095179,0,0,0,0
tt0095186,1,2,2,0
tt0095188,0,0,0,0
tt0095238,3,2,1,1
tt0095243,1,1,2,0
tt0095250,0,0,0,0
tt0095253,0,0,0,0
tt0095271,0,0,0,0
tt0095274,1,1,0,0
tt0095275,0,0,0,0
tt0095280,0,0,0,0
tt0095288,0,0,0,0
tt0095289,1,1,5,0
tt0095294,1,1,1,0
tt0095296,0,0,0,0
tt0095304,0,0,0,0
tt0095311,0,0,0,0
tt0095326,0,0,0,0
tt0095333,2,2,1,1
tt0095348,0,0,0,0
tt0095357,1,1,2,0
tt0095360,0,0,0,0
tt0095382,0,0,0,0
tt0095409,1,1,2,0
tt0095428,1,1,3,0
tt0095454,0,0,0,0
tt0095484,0,0,0,0
tt0095488,1,2,1,0
tt0095489,0,0,0,0
tt0095497,0,0,0,0
tt0095519,0,0,0,0
tt0095532,1,1,4,0
tt0095560,1,1,2,0
tt0095564,1,1,2,0
tt0095583,0,0,0,0
tt0095593,1,1,1,0
tt0095599,0,0,0,0
tt0095613,2,1,2,1
tt0095626,1,1,4,0
tt0095629,2,1,3,3
tt0095631,0,0,0,0
tt0095638,0,0,0,0
tt0095640,1,1,5,0
tt0095647,2,1,1,1
tt0095649,1,1,1,0
tt0095652,0,0,0,0
tt0095654,3,2,2,1
tt0095662,0,0,0,0
tt0095665,2,2,2,2
tt0095675,0,0,0,0
tt0095687,0,0,0,0
tt0095690,3,1,1,2
tt0095705,1,1,3,0
tt0095726,0,0,0,0
tt0095736,3,1,2,2
tt0095742,0,0,0,0
tt0095774,0,0,0,0
tt0095776,0,0,0,0
tt0095827,0,0,0,0
tt0095836,0,0,0,0
tt0095853,1,1,1,0
tt0095863,1,1,4,0
tt0095877,1,1,1,0
tt0095882,0,0,0,0
tt0095889,0,0,0,0
tt0095894,0,0,0,0
tt0095895,0,0,0,0
tt0095897,2,1,3,1
tt0095903,2,1,2,1
tt0095925,0,0,0,0
tt0095927,2,2,2,0
tt0095953,2,1,4,1
tt0095956,0,0,0,0
tt0095963,2,1,1,4
tt0095981,1,2,0,0
tt0095993,0,0,0,0
tt0096003,0,0,0,0
tt0096028,1,1,2,0
tt0096037,2,1,1,1
tt0096054,3,2,2,1
tt0096061,2,1,0,0
tt0096071,1,1,0,0
tt0096072,1,1,5,0
tt0096073,0,0,0,0
tt0096087,2,1,4,3
tt0096094,1,1,2,0
tt0096098,0,0,0,0
tt0096101,1,2,2,0
tt0096152,1,1,1,0
tt0096156,1,1,2,0
tt0096161,1,1,1,0
tt0096171,1,1,1,0
tt0096180,1,1,0,0
tt0096193,2,1,3,2
tt0096200,2,1,2,2
tt0096203,1,1,2,0
tt0096211,2,1,3,1
tt0096219,0,0,0,0
tt0096223,1,1,4,0
tt0096236,2,1,1,3
tt0096241,0,0,0,0
tt0096244,1,1,3,0
tt0096246,0,0,0,0
tt0096256,0,0,0,0
tt0096257,0,0,0,0
tt0096259,2,1,3,2
tt0096267,1,2,1,0
tt0096271,2,1,1,1
tt0096289,3,1,1,4
tt0096291,0,0,0,0
tt0096294,0,0,0,0
tt0096316,1,1,1,0
tt0096320,1,1,2,0
tt0096324,0,0,0,0
tt0096328,0,0,0,0
tt0096332,0,0,0,0
tt0096340,0,0,0,0
tt0096378,1,1,5,0
tt0096380,0,0,0,0
tt0096425,0,0,0,0
tt0096426,0,0,0,0
tt0096438,1,1,1,0
tt0096446,0,0,0,0
tt0096454,2,1,1,1
tt0096463,3,2,3,2
tt0096464,1,1,2,0
tt0096466,0,0,0,0
tt0096487,2,1,3,4
tt0096657,0,0,0,0
tt0096734,0,0,0,0
tt0096754,0,0,0,0
tt0096769,3,2,1,5
tt0096787,0,0,0,0
tt0096794,1,1,1,0
tt0096804,0,0,0,0
tt0096869,0,0,0,0
tt0096874,0,0,0,0
tt0096895,0,0,0,0
tt0096911,0,0,0,0
tt0096913,4,1,3,3
tt0096918,0,0,0,0
tt0096926,0,0,0,0
tt0096928,0,0,0,0
tt0096933,1,2,4,0
tt0096943,1,1,2,0
tt0096951,1,2,3,0
tt0096952,0,0,0,0
tt0096953,4,2,1,3
tt0096969,0,0,0,0
tt0096976,0,0,0,0
tt0097027,2,1,4,3
tt0097044,2,1,2,2
tt0097052,2,1,1,5
tt0097053,0,0,0,0
tt0097100,1,1,1,0
tt0097109,0,0,0,0
tt0097115,1,1,2,0
tt0097116,1,2,3,0
tt0097119,3,1,1,1
tt0097123,0,0,0,0
tt0097138,1,1,3,0
tt0097142,2,1,1,1
tt0097162,0,0,0,0
tt0097165,0,0,0,0
tt0097166,2,2,1,1
tt0097179,1,2,5,0
tt0097211,0,0,0,0
