CLI_ID,UNIVERS,MOIS_VENTE,FAMILLE,MAILLE,"('PRIX_NET', 'min')","('PRIX_NET', 'max')","('PRIX_NET', 'mean')"
991505847,CORPS_SOIN DES MAINS,8,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.0,14.95,4.3464285714285715
991505855,VIS_CJOUR AAAR,2,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,2.95,28.0,15.475
991505863,PARF_PARF ET EAU DE PARF,7,PARFUMAGE,PARF_PARFUM,19.95,19.95,19.95
991505889,SOL_PROTECTEURS SOLAIRES,6,SOLAIRES,SOLAIRE,7.45,11.5,8.966666666666667
991505904,VIS_CJOUR Jeunes Specifique,9,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,6.95,29.9,18.425
991505912,CORPS_PRODUITS MINCEUR,8,SOINS DU CORPS,CORPS_SPA_ET_MINCEUR,2.95,16.95,7.95
991505920,PARF_EAUX PARFUMS,2,PARFUMAGE,PARF_PARFUM,1.95,14.9,8.65
991505938,VIS_SOIN HOMMES,10,SOINS DU VISAGE,VIS_HOMMES,9.95,9.95,9.95
991506037,PARF_EAUX HOMMES,5,PARFUMAGE,PARF_HOMME,9.95,22.95,13.45
991506045,MAQ_TEINT Font teint,4,MAQUILLAGE,MAQ_TEINT,3.5,14.5,10.020833333333334
991506079,VIS_CJOUR PUR,3,SOINS DU VISAGE,VIS_PUR,3.95,12.9,8.75
991506087,PARF_PARF ET EAU DE PARF,10,PARFUMAGE,PARF_PARFUM,1.95,27.0,12.475
991506102,SOL_APRES SOLEIL,5,SOLAIRES,SOLAIRE,3.0,3.95,3.475
991506110,MAQ_ONG Vernis CN,5,MAQUILLAGE,MAQ_ONGLES,4.45,10.0,5.636363636363637
991506144,VIS_SOIN LEVRES,11,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.95,17.5,9.292857142857143
991506152,HYG_DOUCHE JARDINMONDE,5,HYGIENE,HYG_JDM,1.66,6.45,3.755555555555555
991506219,VIS_SOIN HOMMES,2,SOINS DU VISAGE,VIS_HOMMES,9.9,9.9,9.9
991506227,MAQ_TEINT Font teint,6,MAQUILLAGE,MAQ_TEINT,4.9,14.5,9.7
991506300,VIS_CJOUR PUR,12,SOINS DU VISAGE,VIS_PUR,4.95,18.0,9.299999999999999
991506376,HYG_DOUCHE JARDINMONDE,1,HYGIENE,HYG_JDM,0.95,23.95,4.266666666666667
991506409,CAP_SHAMP TRAITANT,1,CAPILLAIRES,CAPILLAIRE_SHAMPOING,1.5,2.95,1.8625
991506425,MAQ_YEUX Stylos,9,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.2,19.9,7.430952380952381
991506467,VIS_CJOUR AAAR,12,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,13.45,32.5,22.74285714285714
991506475,VIS_TRAIT AAAR,10,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,5.45,11.5,8.475
991506540,HYG_DOUCHE PLAISIRNATURE,4,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,1.5,27.9,9.778571428571428
991506558,CORPS_EXFOLIANT CORPS,8,SOINS DU CORPS,CORPS_SPA_ET_MINCEUR,2.5,13.9,5.928571428571429
991506574,PARF_PARF ET EAU DE PARF,5,PARFUMAGE,PARF_PARFUM,27.0,45.0,36.0
991506582,PARF_PARF ET EAU DE PARF,12,PARFUMAGE,PARF_PARFUM,19.95,22.9,21.424999999999997
991506590,MAQ_TEINT Poudres,10,MAQUILLAGE,MAQ_TEINT,1.95,36.0,9.020833333333334
991506649,MAQ_YEUX Crayons,12,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.5,24.9,6.124358974358974
991506665,MAQ_TEINT Poudres,8,MAQUILLAGE,MAQ_TEINT,9.75,19.5,14.190000000000001
991506748,CORPS_HYDRA NOURRISANT,12,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,3.9,13.9,6.707142857142857
991506754,HYG_DOUCHE PLAISIRNATURE,8,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,4.9,4.9,4.9
991506770,PARF_EAUX PLAISIR NATURE,1,PARFUMAGE,PARF_EDT,2.95,10.0,7.3125
991506796,MAQ_YEUX Eyeliner,2,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,4.45,14.95,8.85625
991506811,MAQ_YEUX Stylos,2,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,9.9,9.9,9.9
991506837,CORPS_SOIN PIEDS ET JAMBES,12,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.95,7.75,3.8375
991506853,SOL_APRES SOLEIL,6,SOLAIRES,SOLAIRE,2.45,12.55,5.57
991506887,VIS_CJOUR AAAR,6,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,18.0,18.0,18.0
991506910,HYG_DOUCHE MONOI,5,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,1.65,15.0,7.45
991506936,VIS_MASQUE Jeunes Specifique,8,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,2.95,8.95,4.95
991506944,MAQ_YEUX Stylos,7,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,4.95,4.95,4.95
991506960,VIS_DEMAQ PUR,10,SOINS DU VISAGE,VIS_PUR,2.95,2.95,2.95
991507001,VIS_CJOUR AAAR,1,SOINS DU VISAGE,VIS_AAAR_HORS_DEMAQLOTION,14.0,14.0,14.0
991507043,MAQ_TEINT Font teint,3,MAQUILLAGE,MAQ_TEINT,9.25,9.25,9.25
991507069,PARF_PARF ET EAU DE PARF,6,PARFUMAGE,PARF_PARFUM,6.95,53.0,19.16
991507085,VIS_SOIN LEVRES,9,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.25,3.0,1.75
991507100,HYG_DOUCHE HAMMAM,5,HYGIENE,HYG_AUTRES,1.95,19.95,6.664285714285714
991507126,MAQ_ONG AUTRES,3,MAQUILLAGE,MAQ_ONGLES,1.25,27.0,8.892857142857142
991507168,CAP_SHAMP TSCHEVEUX,9,CAPILLAIRES,CAPILLAIRE_SHAMPOING,1.5,24.5,6.480769230769231
991507176,PARF_EAUX HOMMES,3,PARFUMAGE,PARF_HOMME,12.5,12.5,12.5
991507259,CORPS_LAIT HUILE PARFUMS,5,SOINS DU CORPS,CORPS_HYDR_LAIT_HUILE,2.25,52.0,14.581944444444446
991507267,VIS_DEMAQ BLEUET,12,SOINS DU VISAGE,VIS_AUTRES,2.5,19.9,8.966666666666667
991507275,VIS_DEMAQ Jeunes Specifique,6,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,3.45,3.45,3.45
991507358,MAQ_YEUX Fard,4,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,2.25,6.95,4.35
991507366,MAQ_ONG AUTRES,4,MAQUILLAGE,MAQ_ONGLES,4.95,4.95,4.95
991507374,HYG_DOUCHE EDT ETE,10,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,1.0,4.1,2.1217647058823528
991507457,MAQ_YEUX Fard,9,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,1.25,29.9,8.284615384615385
991507499,CORPS_SOIN PIEDS ET JAMBES,10,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.25,17.9,4.445
991507530,MAQ_YEUX Mascara SexyPulp,2,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,1.25,12.5,4.8375
991507548,PARF_PARF ET EAU DE PARF,12,PARFUMAGE,PARF_PARFUM,7.9,26.9,14.866666666666667
991507580,HYG_DOUCHE PLAISIRNATURE,12,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,4.5,5.5,4.86
991507598,HYG_DEO PARFUMS,4,HYGIENE,HYG_PARFUMEE,1.5,15.9,4.961428571428572
991507621,PARF_APRES RASAGE,5,PARFUMAGE,PARF_HOMME,34.0,34.0,34.0
991507647,CAP_SHAMP TSCHEVEUX,12,CAPILLAIRES,CAPILLAIRE_SHAMPOING,2.45,2.45,2.45
991507697,HYG_SAVONS,12,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,1.9,2.45,2.25
991507720,CORPS_HYDRA NOURRISANT,7,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,4.95,54.0,13.6625
991507746,CORPS_LAIT HUILE MONOI,3,SOINS DU CORPS,CORPS_MONOI,1.95,5.95,3.878571428571429
991507877,HYG_DOUCHE JARDINMONDE,1,HYGIENE,HYG_JDM,3.0,3.0,3.0
991507885,VIS_CJOUR Jeunes Specifique,10,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,5.45,9.95,7.824999999999999
991507942,MAQ_ONG AUTRES,12,MAQUILLAGE,MAQ_ONGLES,3.6,4.9,4.075
991507950,VIS_SOIN LEVRES,6,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.25,18.0,6.6625
991507992,HYG_DOUCHE PLAISIRNATURE,11,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,1.0,7.9,3.1846153846153844
991508009,PARF_APRES RASAGE,12,PARFUMAGE,PARF_HOMME,1.0,8.5,4.225
991508033,HYG_DOUCHE EDT NOEL,12,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,1.85,3.6,2.5500000000000003
991508059,CAP_SHAMP TSCHEVEUX,4,CAPILLAIRES,CAPILLAIRE_SHAMPOING,1.65,9.95,3.75
991508075,VIS_CJOUR Jeunes Specifique,3,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,6.95,6.95,6.95
991508091,HYG_DOUCHE MONOI,6,HYGIENE,HYG_MONOI_ET_EDIT_SPEC,1.95,1.95,1.95
991508116,VIS_DEMAQ BLEUET,10,SOINS DU VISAGE,VIS_AUTRES,3.65,12.95,8.85
991508132,HYG_DOUCHE PLAISIRNATURE,2,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,1.0,8.95,2.4078947368421053
991508207,CORPS_LAIT HUILE PARFUMS,12,SOINS DU CORPS,CORPS_HYDR_LAIT_HUILE,1.95,26.5,12.234
991508223,VIS_TRAIT Jeunes Specifique,7,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,4.45,6.95,5.075
991508265,MAQ_YEUX Mascara Basic,6,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.65,3.95,3.1833333333333336
991508322,HYG_DOUCHE JARDINMONDE,6,HYGIENE,HYG_JDM,1.5,4.95,2.306
991508348,MAQ_YEUX Stylos,11,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,4.95,15.9,10.490909090909092
991508356,VIS_MASQUE Jeunes Specifique,3,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.9,7.45,3.8125
991508372,HYG_DOUCHE JARDINMONDE,3,HYGIENE,HYG_JDM,1.5,6.45,3.188888888888889
991508380,MAQ_YEUX Mascara SexyPulp,1,MAQUILLAGE,MAQ_YEUX_MASCA_EYEL_FARD,1.9,17.9,9.011111111111111
991508413,MAQ_TEINT Font teint,4,MAQUILLAGE,MAQ_TEINT,1.25,16.95,5.75625
991508421,SOL_APRES SOLEIL,7,SOLAIRES,SOLAIRE,3.95,32.9,11.291666666666666
991508447,PARF_EAUX PARFUMS,12,PARFUMAGE,PARF_PARFUM,15.95,15.95,15.95
991508497,CORPS_SOIN DES MAINS,12,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.8,25.9,6.005
991508504,VIS_SOIN LEVRES,12,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.95,9.95,4.966666666666667
991508520,HYG_DOUCHE JARDINMONDE,7,HYGIENE,HYG_JDM,1.5,11.75,4.9
991508554,MAQ_YEUX Crayons,6,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.95,9.0,5.913636363636363
991508570,SOL_APRES SOLEIL,6,SOLAIRES,SOLAIRE,1.5,5.95,2.775
991508603,CORPS_SOIN DES MAINS,8,SOINS DU CORPS,CORPS_HYDRA_NOURRI_ET_SOINS,1.75,1.95,1.85
991508629,VIS_CJOUR Jeunes Specifique,4,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,3.95,9.95,7.074999999999999
991508637,PARF_EAUX PARFUMS,8,PARFUMAGE,PARF_PARFUM,15.95,15.95,15.95
991508645,CAP_SHAMP TSCHEVEUX,9,CAPILLAIRES,CAPILLAIRE_SHAMPOING,1.25,4.95,1.8966666666666667
991508653,HYG_DOUCHE JARDINMONDE,6,HYGIENE,HYG_JDM,1.5,3.9,2.8076923076923075
991508661,HYG_DOUCHE JARDINMONDE,3,HYGIENE,HYG_JDM,1.5,1.95,1.6583333333333332
991508679,HYG_DOUCHE PLAISIRNATURE,8,HYGIENE,HYG_PLAISIRNAT_BAIN_SAVON,3.95,3.95,3.95
991508710,VIS_MASQUE Jeunes Specifique,6,SOINS DU VISAGE,VIS_JEUNE_ET_LEVRE,1.95,4.95,3.4500000000000006
991508744,MAQ_YEUX Crayons,6,MAQUILLAGE,MAQ_YEUX_CLASSIQUE,1.95,19.95,6.261111111111111
991508809,VIS_CJOUR BIO,1,SOINS DU VISAGE,VIS_BIO,2.25,6.45,4.35
991508817,PARF_EAUX HOMMES,1,PARFUMAGE,PARF_HOMME,2.95,12.5,7.8
991508825,CORPS_LAIT HUILE PLAISIRNATURE,12,SOINS DU CORPS,CORPS_HYDR_LAIT_HUILE,1.0,5.9,2.392857142857143
991508867,PARF_PARF ET EAU DE PARF,7,PARFUMAGE,PARF_PARFUM,1.95,14.0,6.966666666666666
